,title,directors,scraptwriter,type,country,language,date,flength,rate
2981,蜘蛛侠2 Spider-Man 2,山姆·雷米,斯坦·李 史蒂夫·迪特寇 艾尔弗雷德·高福 迈尔斯·米勒 迈克尔·夏邦 阿尔文·萨金特,动作科幻冒险,美国,英语俄语汉语普通话,2004-08-05(中国大陆)2004-06-30(美国),127分钟,7.6
2982,蜘蛛侠3 Spider-Man 3,山姆·雷米,山姆·雷米 伊万·莱米 阿尔文·萨金特 斯坦·李 史蒂夫·迪特寇,动作科幻冒险,美国,英语,2007-05-01(中国大陆)2007-05-04(美国),139分钟,7.5
2983,蜘蛛巢城 蜘蛛巣城,黑泽明,小国英雄 桥本忍 菊岛隆三 黑泽明 莎士比亚,剧情历史,日本,日语,1957-01-15(日本),110分钟,8.5
2984,蜜蜂总动员 Bee Movie,史蒂夫·希克纳西蒙·J·史密斯,杰瑞·宋飞 斯派克·费雷斯滕 Barry Marder 安迪·罗宾 Chuck Martin Tom Papa,喜剧动画家庭冒险,美国,英语,2007-11-02(美国),91 分钟,6.8
2985,蜡笔小新 呐喊！春日部野生王国 映画クレヨンしんちゃん　オタケベ！カスカベ野生王国,鴫野彰高桥涉,静谷伊佐夫,动画,日本,日语,2009-04-18,,8.1
2986,蜡笔小新 超时空！呼风唤雨的我的新娘 クレヨンしんちゃん 超時空！嵐を呼ぶオラの花嫁,鴫野彰高桥涉,横手美智子,动画,日本,日语,2010-04-17,99 分钟,8.1
2987,蜡笔小新：呼风唤雨！光荣的烤肉之路 嵐を呼ぶ 栄光のヤキニクロード,水岛努,水岛努 原惠一 臼井仪人,动画,日本,日语,2003-04-19,88分钟,8.4
2988,蜡笔小新：呼风唤雨！猛烈！大人帝国的反击 クレヨンしんちゃん 嵐を呼ぶ モーレツ!オトナ帝国の逆襲,原惠一水岛努,原惠一,喜剧动画,日本,日语,2001-04-21(日本),90分钟,9.3
2989,蜡笔小新：新婚旅行飓风之遗失的野原广志 映画クレヨンしんちゃん 新婚旅行ハリケーン ～失われたひろし～,桥本昌和,上野贵美子 水野宗徳,喜剧动画儿童,日本,日语,2019-04-19(日本),100分钟,8.1
2990,蜡笔小新：超级美味B级美食大逃亡 映画クレヨンしんちゃん バカうまっ！B級グルメサバイバル!!,桥本昌和,浦泽义雄 上野贵美子 臼井仪人,动画,日本,日语,2013-04-20(日本),95分钟,8.1
2991,蝎子王 The Scorpion King,查克·拉塞尔,大卫·海特 乔纳森·黑尔斯,动作惊悚奇幻冒险,德国美国比利时,英语,2002-04-19(美国),92 分钟,6.6
2992,蝎子王2：勇士的崛起 The Scorpion King: Rise of a Warrior,拉塞尔·穆卡希,Randall McCormick 斯蒂芬·索莫斯,动作奇幻冒险,美国南非德国,英语,2008-08-19,109分钟,5.7
2993,蝙蝠侠 Batman,蒂姆·波顿,Sam Hamm 沃伦·斯卡伦 鲍勃·凯恩,动作冒险,美国英国,英语法语,1989-06-23,126 分钟,7.4
2994,蝙蝠侠大战超人：正义黎明 Batman v Superman: Dawn of Justice,扎克·施奈德,克里斯·特里奥 大卫·S·高耶 鲍勃·凯恩 比尔·芬格 杰里·西格尔 乔·舒斯特,动作科幻奇幻冒险,美国,英语西班牙语俄语,2016-03-25(中国大陆/美国),151分钟,6.8
2995,蝙蝠侠归来 Batman Returns,蒂姆·波顿,丹尼尔·沃特斯,动作犯罪奇幻,美国英国,英语,1992-06-19(美国),126分钟,7.3
2996,蝙蝠侠：侠影之谜 Batman Begins,克里斯托弗·诺兰,大卫·S·高耶 克里斯托弗·诺兰,剧情动作科幻惊悚犯罪,美国英国,英语乌尔都语汉语普通话,2005-06-29(中国大陆)2005-06-15(美国),140分钟,8.5
2997,"蝙蝠侠：黑暗骑士归来(下) Batman: The Dark Knight Returns, Part 2",杰伊·欧力瓦,鲍勃·古德曼 弗兰克·米勒,动作动画,美国,英语,2013-01-29(美国),76分钟,8.8
2998,蝴蝶 Le papillon,费利普·弥勒,费利普·弥勒,剧情喜剧儿童,法国,法语,2002-12-18(法国),85 分钟,8.6
2999,蝴蝶君 M. Butterfly,大卫·柯南伯格,黄哲伦,剧情爱情同性,美国,英语汉语普通话法语意大利语粤语,1993-09-09,101 分钟,8.3
3000,蝴蝶效应2 The Butterfly Effect 2,约翰·R·莱昂耐迪,Michael D. Weiss,剧情科幻惊悚,美国,英语,2006-10-10(美国),92分钟,6.1
3001,蝴蝶效应3：启示 The Butterfly Effect 3: Revelations,塞斯·格罗斯曼,Holly Brix,剧情科幻惊悚犯罪,美国,英语,2009-01-09,90 分钟,6.7
3002,蝴蝶梦 Rebecca,本·维特利,简·古德曼 乔·施雷普内尔 安娜·沃特豪斯 达芙妮·杜穆里埃,剧情爱情悬疑惊悚,英国,英语,2020-10-21(美国网络),121分钟,5.5
3003,蝴蝶梦：梁山伯与祝英台 蝴蝶夢－梁山伯與祝英台,蔡明钦,蔡明钦 邓亚宴,爱情动画奇幻古装,中国,普通话,2003-12-31(中国台湾),95分钟,7.4
3004,血书 Books of Blood,布兰农·布拉加,克莱夫·巴克 布兰农·布拉加 Adam Simon,剧情科幻悬疑恐怖,美国,英语,2020-10-07(美国),,5.9
3005,血战台儿庄,杨光远翟俊杰,田军利 费林军,历史战争,中国,汉语普通话,1986,129分钟,8.5
3006,血滴子,刘伟强,林爱华 陈嘉仪 许月珍,动作武侠古装,中国,汉语普通话,2012-12-20(中国大陆),112分钟,4.7
3007,血肉之躯 Warm Bodies,乔纳森·莱文,乔纳森·莱文 艾萨克·马里昂,喜剧爱情恐怖,美国加拿大,英语,2013-02-14(中国香港)2013-02-01(美国),98分钟,7.5
3008,血色将至 There Will Be Blood,保罗·托马斯·安德森,保罗·托马斯·安德森 厄普顿·辛克莱,剧情,美国,英语美语手语,2007-09-27(奇幻电影节)2008-01-25(美国),158 分钟,8.3
